instructions,cycles,cpu-migrations,branches,branch-misses,context-switches,cache-references,cache-misses,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-stores,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,Thread,seconds,matrix_workload,Class,energy_joules
1047021710807,977400229475,337,71397000733,155389361,36529,6657150273,3638482555,104115258228,268088981003,24554945671,12404809787,392476513,5417368851,3251758319,35838,35838,8,46.49,1061208,SG,
1045725456499,958848078668,357,70973112192,155496430,36220,6560824473,3659491162,103928573480,268150129949,24595239973,12397225373,391725726,5341429082,3204784664,28814,28814,8,45.77,1061208,SG,
1047289555046,950048134554,446,71338936210,155572883,36668,6569487294,3642200864,104276190503,270274189439,24652296049,12413791499,394921756,5368398371,3191487928,29061,29061,8,45.56,1061208,SG,
1043339099900,1007559972992,412,72526184066,157128595,39735,6672999878,3732313638,103808981581,269475718170,24651750278,12371567450,393103980,5452152204,3294697683,16299,16299,8,48.37,1061208,SG,
1040171785319,958389917809,400,72235316325,156282522,37846,6659995854,3612662327,104343517220,272088022231,24712275065,12306834471,374869050,5487297368,3279602730,27730,27730,8,46,1061208,SG,
1046546373443,989108189914,356,71139755296,155588094,37005,6627068618,3716202059,104255627059,267879742818,24647000343,12428739207,387489506,5459643838,3314769444,13166,13166,8,47.14,1061208,SG,
1047513852950,990517325646,410,72113214086,156188600,38432,6624989276,3687798643,104132002372,269757688799,24623802145,12396218095,400046019,5385023230,3254995600,21749,21749,8,47.37,1061208,SG,
1039887115662,948795298733,103,69958559565,153141823,31458,6573326062,3537576041,104113873979,267948576939,24623113984,12438983603,390142814,5343332759,3153971666,12067,12067,8,42.19,1061208,SG,
1039499005077,1169898343552,79,68718946691,155257131,35424,9358259030,5127644899,103998367267,266933987584,24485504813,12741591439,513206042,7799669549,4567259853,29606,29606,10,41.3,1061208,SG,
1055945599344,1172187976650,411,72090763544,159046374,44179,9037337494,5167907148,104013808891,266587046751,24433585533,12706630261,546892169,7473433212,4514788059,29552,29552,10,44.72,1061208,SG,
1038002700940,1111853180616,81,68565773652,154909465,33760,9105881076,4951862480,104136004745,267313987773,24535368454,12742077496,499110644,7585684250,4423042138,13003,13003,10,39.23,1061208,SG,
1031541825748,1136892830478,45,67526852497,154759018,33263,9393781120,4971687456,104303511165,267014138425,24534655731,12793881871,490592876,7793616915,4480885859,13796,13796,10,39.41,1061208,SG,
1036380651048,1118298257942,69,68358280045,154930810,33781,9297833795,5009631834,104201986647,267190233198,24507260039,12731074903,503550232,7721170351,4489669413,33829,33829,10,39.55,1061208,SG,
1030817806995,1101569517895,37,67525256355,154535745,32719,9242074713,4964491806,104200937512,267191621747,24541290882,12768039566,491307908,7672863331,4446922081,14685,14685,10,38.62,1061208,SG,
1033363257818,1126494404639,51,67865837423,154774842,33594,9366911692,5035262246,104252572641,267355859726,24510977765,12727121357,502362779,7783010431,4491711869,29631,29631,10,39.43,1061208,SG,
1032534905632,1101390676167,85,67529190188,154698267,33497,9208406217,4970165411,104213134611,266922282501,24491992954,12734851536,496550322,7666259051,4424351646,28820,28820,10,39.08,1061208,SG,
1034273696308,1141131879182,95,68155872577,155214728,34908,9334729100,5130859874,104204734140,267433537336,24518677044,12718100175,516860347,7795262662,4590755226,30074,30074,10,40.42,1061208,SG,
1030589058886,1128509947455,47,67161069686,154634705,33114,9286549936,5052996294,104207051613,267174745548,24544615421,12727939997,487247985,7751573902,4558844779,10019,10019,10,39.19,1061208,SG,
1034980272592,1102418028520,57,68712204530,154826011,33268,9398210087,4925746507,104199000073,267852065347,24530359618,12783986051,511166135,7793830501,4398341155,17970,17970,10,38.88,1061208,SG,
1031867038893,1184954586635,61,69001584007,155744443,35966,9337286098,5096374393,104371114254,270159371157,24657351449,12698223153,496709013,7804207780,4615119932,42174,42174,10,42.1,1061208,SG,
1040007324197,1174750914818,45,69390399555,155342464,35021,9455362280,5063879076,104205691152,268842179356,24518744412,12744831886,523950911,7878203707,4521051338,27291,27291,10,41.22,1061208,SG,
1036832831035,1142069498883,77,68940103872,155624757,34932,9207094281,4994107948,104181623162,268044430389,24542444536,12685706765,483177441,7699925855,4494292949,21141,21141,10,40.55,1061208,SG,
